nationality,region,age,gender,new_phrase,new_phrase_definition,new_phrase_sentence_example,model_names,model_a_response,model_a_likert,model_b_response,model_b_likert,model_c_response,model_c_likert
Argentina,Cordoba (Argentina),33.0,F,Un montón,Forma de decir que algo es exagerado o demasiado.,Es un montón que reacciones asi por eso.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Aglomeración desordonada de cosas o elementos acumulados sin formar una estructura definida.,1.0,"Un montón es una acumulación de objetos, generalmente de forma irregular, dispuestos en una pila o grupo.",1.0,Conjunto de cosas de la misma naturaleza que se encuentran amontonadas unas sobre otras o agrupadas en un mismo lugar.,1.0
Argentina,Cordoba (Argentina),36.0,F,ir as los piques,"Significa hacer algo con mucha rapidez, urgencia o ir apurado hacia un lugar.",Terminé de corregir los trabajos de los alumnos y me fui a los piques para la escuela porque ya se me hacía tarde.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Conflicto intenso y competitivo entre dos o más partes que buscan ganar o superarse a través de confrontación.,1.0,"""Ir a los piques"" significa ir a un lugar donde se beben y se consumen bebidas alcohólicas, usualmente en un ambiente informal y festivo.",1.0,"Participar en carreras de velocidad no oficiales, generalmente con vehículos motorizados, en rutas o tramos específicos de calles o carreteras.",1.0
Argentina,Cordoba (Argentina),36.0,F,dar una mano,"Significa brindar ayuda, colaborar o socorrer a alguien que se encuentra en una situación complicada o con mucho trabajo","Vi que mi colega no llegaba a armar los materiales para el taller de salud, así que me quedé un rato más para darle una mano.","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Ayudar o colaborar con alguien en una tarea o situación que requiere apoyo en conjunto.,5.0,"Ayudar a alguien con una tarea o problema, ofreciendo asistencia o colaboración voluntaria.",5.0,"Brindar ayuda, auxilio o colaboración a una persona para facilitar la realización de una tarea o superar una dificultad.",5.0
Argentina,Cordoba (Argentina),36.0,F,chuchazo,Se utiliza para describir un escalofrío repentino o una sensación brusca de frío intenso que recorre el cuerpo.,Salí apurada del aula al patio sin la campera y me dio un chuchazo tremendo por el viento helado.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Último golpe de un martillo neumático o máquina similar para afinar paredes.,1.0,"Chuchazo: Golpe o patada aplicada con la mano, generalmente de forma agresiva o espontánea.",1.0,"Golpe fuerte, seco y contundente que se propina con una parte del cuerpo o un objeto contra otra superficie o persona.",1.0
Argentina,Cordoba (Argentina),42.0,F,ta mortal!,esta muy bueno,ta mortal la camiseta,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Exclamación irónica que expresa asombro ante una situación grave pero tópica o carente de originalidad.,1.0,"Expresión que indica entusiasmo, admiración o aprobación intensa hacia algo o alguien.",4.0,"Expresión coloquial utilizada para describir algo que es extremadamente bueno, increíble, impresionante o de una calidad excepcional.",4.0
Argentina,Cordoba (Argentina),29.0,M,Canchero,Una persona que cree ser mas inteligene que los demas ,"Miralo a ese, se hace el canchero","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","другими словами, означает умственный. *Divertido, ingenioso o astuto, especialmente en mantener conversaciones interesantes.*",1.0,"Canchero es un término coloquial mexicano que se refiere a un individuo que se comporta con audacia, valentía y a veces, imprudencia.",1.0,"Persona que posee una actitud relajada, desenvuelta y con estilo, proyectando confianza y seguridad en su forma de actuar o vestir. Suele asociarse con la elegancia informal o el carisma.",1.0
Argentina,Cordoba (Argentina),36.0,F,VAGO,"se utiliza de manera afectuosa o informal para referirse a un compañero, amigo, conocido o a un grupo de personas (equivalente a ""muchacho"" o ""chicos"").",Ayer me crucé con los vagos en la plaza y nos quedamos charlando un rato antes de entrar a trabajar,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Persona que evita esfuerzos, responsabilidades o compromisos, sin motivación, logrando poco o nada.",1.0,"Persona que carece de propósito, dirección o iniciativa, exhibiendo una actitud despreocupada y falta de compromiso en sus actividades.",1.0,"Persona que muestra falta de ganas, interés o esfuerzo para realizar sus tareas, actividades o deberes. También se refiere a algo impreciso, indeterminado o que carece de claridad.",1.0
Argentina,Cordoba (Argentina),36.0,F,"Ir a los piques""","Significa hacer algo con mucha rapidez, urgencia o ir apurado hacia un lugar.",Terminé de corregir los trabajos de los alumnos y me fui a los piques para la escuela porque ya se me hacía tarde.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Frases coloquial que significa **descansar**, **echar una siesta** o **descuidar una actividad por cansancio o desinterés**.",1.0,"""Ir a los piques"" significa reunirse informalmente con amigos o conocidos para tomar algo, generalmente bebidas y aperitivos, en un lugar relajado.",1.0,Expresión coloquial utilizada para referirse al acto de asistir a una pista de carreras de autos para presenciar competencias de velocidad o aceleración.,1.0
Argentina,Cordoba (Argentina),36.0,F,Estar hasta las manos,"Estar sumamente ocupado, sobrepasado de tareas, responsabilidades o con muy poco tiempo libre disponible.","Esta semana no voy a poder ir a visitarte porque estoy hasta las manos con las planificaciones anuales del curso""","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","""Estar hasta las manos"" significa estar muy ocupado, tener abundante trabajo o ద్వ静岡rementes que realizar.",5.0,"Estar hasta las manos significa estar exhausto, frustrado y abrumado por una situación o carga, llegando al límite de la tolerancia.",3.0,"Estar sumamente ocupado, abrumado por una gran cantidad de tareas o profundamente involucrado en una situación emocional o sentimental.",4.0
Argentina,Cordoba (Argentina),36.0,F,Dar una mano,"Significa brindar ayuda, colaborar o socorrer a alguien que se encuentra en una situación complicada o con mucho trabajo.","Vi que mi colega no llegaba a armar los materiales para el taller de salud, así que me quedé un rato más para darle una mano.","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Aportar auxilio o ayuda, ya sea cooprando físicamente o coordinando esfuerzos para resolver una dificultad.",5.0,"Ayudar a alguien, ofrecer asistencia o colaboración para facilitar una tarea o resolver un problema.",5.0,"Colaborar, ayudar o prestar asistencia a alguien para facilitar la realización de una tarea o resolver una dificultad.",5.0
Argentina,Cordoba (Argentina),36.0,F,Chuchazo,Se utiliza para describir un escalofrío repentino o una sensación brusca de frío intenso que recorre el cuerpo.,Salí apurada del aula al patio sin la campera y me dio un chuchazo tremendo por el viento helado.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Recibir comunmente el nombre de ""chuchazo"" a un goal marqué directamente desde un saque de banda.",1.0,"Chuchazo: Golpe o puñetazo rápido y contundente, generalmente administrado con la mano abierta.",1.0,"Golpe fuerte y contundente dado con la mano, un objeto o una parte del cuerpo, que suele producir dolor o una marca.",1.0
Argentina,Cordoba (Argentina),50.0,F,es un pesado!,es insistente o cargoso,mi hermano es un pesado.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Afirmación coloquial que critica a alguien por resultar poco interesante, cansino o molesto.",1.0,"Es una expresión de desprecio o frustración que denota la percepción de que alguien es obstinado, difícil de manejar o molesto.",2.0,"Expresión coloquial utilizada para describir a una persona que resulta molesta, insistente o fastidiosa debido a su actitud, comportamiento o insistencia excesiva.",4.0
Argentina,Cordoba (Argentina),50.0,F,corto como patada de chancho,mas rápido que un bombero,que le paso al tipo,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","A loud, sudden noise resembling a high-pitched bark, often made directed at someone as an insult or exclamation.",2.0,"“Corto como patada de chancho” refers to a short, abrupt, and forceful kick, reminiscent of a pig’s strike.",1.0,An idiomatic Spanish expression used to describe something that is extremely short or very small in length or duration.,4.0
Argentina,Cordoba (Argentina),50.0,F,es un negro,persona poco culta o maleducada,Estos chicos son unos negros.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","**Neutralidad ideológica:** Ausencia de preferencia, parcialidad o influencia en alguna postura respecto a temas políticos, filosóficos o sociales.",1.0,"Es una persona de piel oscura, caracterizada por la melanina en su piel.",1.0,"Término que describe a una persona de raza negra, caracterizada por la pigmentación oscura de su piel. Puede emplearse de forma descriptiva o, dependiendo del contexto y la intención, de manera despectiva.",1.0
Argentina,Cordoba (Argentina),50.0,F,cheta,agrandada o creida ,Esta chica es tan cheta. ,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Pro canapé transitable cubierto con tela resistente al agua, usado en exteriores, baños o espacios públicos para restar magulladuras o humedad al cuatro.",1.0,"“Cheta” es una interjección coloquial española, utilizada principalmente en España, que expresa sorpresa, incredulidad o desaprobación.",1.0,"Persona de clase social alta o con comportamientos y gustos asociados a la élite, que suele mostrar una actitud presumida o de superioridad económica y social.",4.0
Argentina,Cordoba (Argentina),50.0,F,es una bruja,"mala, despreciable, con malas intenciones",Mi sugra es una bruja. ,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","**Bruja**: Persona, generalmente mujer, que practica oscuros rituales de magia o es atribuida con poderes sobrenaturales maléficos.",1.0,"Una bruja es una persona que practica la magia, generalmente asociada con la naturaleza, lo oculto y el conocimiento de hierbas y rituales.",1.0,"Persona que, según la creencia popular o el folclore, posee poderes mágicos, sobrenaturales o la capacidad de realizar hechizos, maleficios o rituales mediante la hechicería.",1.0
Argentina,Cordoba (Argentina),50.0,F,plomazo,persona que es aburrida y molesta.,Esta compañera es un plomazo.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Golpe violento con la mano abierta contra un objeto o superficie.,1.0,"Plomazo es un disparo de cañón con proyectil de plomo, generalmente utilizado para derribar o inutilizar aeronaves o barcos.",1.0,"Término coloquial utilizado para referirse a un disparo efectuado con un arma de fuego, especialmente cuando se produce un impacto de bala.",1.0
Argentina,Cordoba (Argentina),50.0,F,corto como patada de chancho,mas rapido que un bombero,que la pasa al tipo,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","**""Corto como patada de chancho""** means **excellent, outstanding, or FATAL**—an expression highlighting something notably superior. Literally, ""faster than a pig's kick.""",2.0,"“Corto como patada de chancho” translates to “short like a pig’s kick,” describing a brief, abrupt, and forceful movement.",5.0,A Spanish idiom used to describe something that is extremely short or insufficient in length or duration.,4.0
Argentina,Cordoba (Argentina),50.0,F,corto como patada de chancho,que la pasa al tipo,rapido como bombero,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Brutal, despectivo, o con lenguaje soez en tono ceremonioso, especialmente hacia alguien considerado ignorante, grosero, o de baja condición.",5.0,"“Corto como patada de chancho” translates to “short like a pig’s kick,” describing something brief, abrupt, or unexpectedly curtailed.",5.0,"A colloquial Spanish expression used to describe something that is extremely short, inadequate, or insufficient in length or duration.",5.0
Argentina,Cordoba (Argentina),43.0,F,Está más perdido que turco en la neblina,Se usa para describir a una persona que está muy confundida o desorientada.,El turco esta perdido en la neblina,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Frase que expresa **desorientación extrema** en una situación complicada, sin conocer el camino correcto hacia adelante.",5.0,Está más perdido que turco en la neblina significa que está completamente desorientado y sin saber dónde está o qué hacer.,5.0,"Expresión coloquial utilizada para describir a una persona que se encuentra sumamente confundida, desorientada o que no tiene idea de lo que está sucediendo en una situación determinada.",5.0
Argentina,Cordoba (Argentina),43.0,F,“No le busques la quinta pata al gato.”,Se usa para decirle a alguien que no complique las cosas ni busque problemas donde no los hay.,Fulano siempre le busca la quinta pata al gato,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Propiedad acordada no existente; cuestionar hechos evidentes o admitidos sin evidencia.,1.0,No te compliques buscando detalles innecesarios o soluciones rebuscadas a problemas simples.,3.0,"Expresión que aconseja dejar de buscar complicaciones innecesarias, dificultades inexistentes o defectos donde no los hay en una situación o asunto sencillo.",5.0
Argentina,Cordoba (Argentina),43.0,F,Andá a cantarle a Gardel.”,"Se usa cuando alguien exagera, presume demasiado o quiere convencer a otro de algo difícil de creer.",Dice que aprobó sin estudiar nada… ¡andá a cantarle a Gardel!”,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Expresión que indica que no se debe seguir insistiendo en el tema o acción.,2.0,“Andá a cantarle a Gardel” es una expresión coloquial que se utiliza para decirle a alguien que se calle o que deje de hablar.,2.0,"Expresión coloquial rioplatense utilizada para indicar que alguien está diciendo algo irrelevante, absurdo o fuera de lugar, sugiriendo que su comentario no tiene validez en el contexto actual.",5.0
Argentina,Cordoba (Argentina),43.0,F,“Más duro que sanguche de adoquín.,"Se usa para describir algo muy difícil, complicado o duro",El examen de matemática estuvo más duro que sanguche de adoquín.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Expresión que describe algo extremadamente difícil o resistente, destacando un desafío inusual para superar.",3.0,"Se refiere a algo extremadamente difícil, pesado o resistente.",5.0,"Expresión coloquial utilizada para describir algo o a alguien extremadamente duro, resistente, rígido o con una personalidad inflexible y difícil de tratar.",3.0
Argentina,Cordoba (Argentina),43.0,F,Estar al horno ,Encontrarse en una situación muy complicada o sin salida.,"Mañana rindo el examen final y no estudié, estoy al horno.
","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","En espera de preparación final, especialmente en el horno antes de su consumo o uso inmediato.",1.0,"Estar al horno significa estar cocinado o calentado en un horno, generalmente mediante la aplicación de calor seco y uniforme.",1.0,"Estar en una situación muy difícil, crítica, comprometida o sin salida, donde las posibilidades de éxito son mínimas o nulas.",5.0
Argentina,Cordoba (Argentina),43.0,F,pichicho,perro,El pichicho jugueton,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Substantivo:ushingutí (Punta Arenas y Chile austral), ser malintencionado, delator o alguien dado a chismear en un tono despectivo.",1.0,"Un término coloquial, principalmente utilizado en España, para referirse a un hombre joven de aspecto andrógino, con estilo musical pop y una estética particular.",1.0,Término coloquial utilizado principalmente en el Cono Sur para referirse de manera afectuosa a un perro o mascota similar.,5.0
Argentina,Cordoba (Argentina),43.0,F,vintage,viejo,El celu te quedo vintage,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Estilo asociado a objetos, diseño o ideas de temporadas pasadas, valorado por su historia y autenticidad, ya sea como tendencia de moda o por su antigüedad característica.",4.0,"Vintage se refiere a un objeto, artículo o estilo que ha pasado de moda y se considera valioso o interesante debido a su antigüedad y singularidad.",5.0,"Término utilizado para describir objetos, prendas o estilos que pertenecen a una época pasada, generalmente con al menos veinte años de antigüedad, y que poseen un valor estético, cultural o de calidad característico de ese periodo.",5.0
Argentina,Cordoba (Argentina),43.0,F,Bolu,insulto,"Pedrio el celu, que bolu","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Juguete de peluche con forma de mono alojado en una bombonera de nata.,1.0,"Bolu es una ciudad de la provincia de Bolu, en Turquía, ubicada en la región de Marmara, conocida por sus fuentes termales y su producción de nueces.",1.0,"Término coloquial utilizado en algunas regiones para referirse a una persona con poca inteligencia, torpe o que actúa de manera distraída. También puede emplearse como insulto según el contexto cultural.",4.0
Argentina,Cordoba (Argentina),43.0,F,Ponerse las pilas,Empezar a esforzarse o prestar atención a una tarea pendiente.,Ponete las pilas con el estudio si querés aprobar el trimestre.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Recargar o retornar a un estado de mayor energía, motivación o productividad tras un periodo de baja actividad o rendimiento.",3.0,"Ponerse las pilas significa esforzarse, activarse y trabajar con diligencia para lograr un objetivo o superar una tarea.",5.0,"Es una expresión coloquial que significa esforzarse, activarse o prestar mayor atención para realizar una tarea o cumplir con una responsabilidad con energía y eficacia.",5.0
Argentina,Cordoba (Argentina),43.0,F,chupetin de asfalto,negro,Negro chupetin de asfalto,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Instrumento erótico infancy consistente en una botella, cubeto o recipiente con líquido que se masturba en público para estimular el asfalto o suelo caliente.",1.0,"Chupetin de asfalto: Termino coloquial para referirse a un hombre con aspecto sucio, desaliñado y de baja condición social.",2.0,"Término coloquial utilizado para referirse a una pequeña cantidad o fragmento de asfalto, generalmente desprendido de la superficie de una carretera o calle.",1.0
Argentina,Cordoba (Argentina),43.0,F,orson,voraz,Que orson el vecino,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",**Alcopolección:** Colemanza excesiva o crónica de cerveza *Orson* (amina aromática natural que imita parte del sabor de la cebada en bebidas sin alcohol).,1.0,"Orson es un apellido de origen incierto, posiblemente de origen germánico o latino, asociado a figuras prominentes en el cine y el teatro.",1.0,"No se encontró una definición estándar para el término ""orson"" en los diccionarios académicos. Podría tratarse de un nombre propio, un error ortográfico o un término técnico especializado sin reconocimiento lingüístico general.",1.0
Argentina,Cordoba (Argentina),43.0,F,Mandar fruta, Hablar sin saber o inventar excusas para zafar de una situación.,"Como no sabía la respuesta de la prueba de historia, le mandé fruta.","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","**Regalar fruta como muestra de afecto, agradecimiento o celebración.**",1.0,Mandar fruta se refiere a ofrecer o entregar fruta a otra persona como un gesto de cortesía o afecto.,1.0,"Expresión coloquial utilizada para indicar que alguien está diciendo tonterías, hablando sin sentido o proporcionando información falsa o irrelevante.",5.0
Argentina,Cordoba (Argentina),43.0,F,¡Qué embole!,Expresión que se usa para indicar que algo es sumamente aburrido.,"El partido de ayer fue un embole total, no pasó nada.","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Expresión coloquial que denota confusión, desorden o complicación excesiva en una situación.",2.0,"Expresión que indica desaprobación o crítica hacia algo considerado de poco valor, vulgar o barato.",1.0,"Expresión coloquial utilizada principalmente en el Cono Sur para manifestar aburrimiento, desinterés, fastidio o tedio ante una situación o actividad monótona.",5.0
Argentina,Cordoba (Argentina),35.0,F,que hediondo,"algo que es muy feo, asqueroso o tiene olor feo",que hediondo ese perfume,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Carrece un olor desagradable, fuerte y perturbador.",1.0,Expresión que indica un olor extremadamente desagradable o repulsivo.,5.0,"Expresión coloquial utilizada para indicar que algo tiene un olor extremadamente desagradable, fétido o nauseabundo.",5.0
Argentina,Cordoba (Argentina),43.0,F,Estar al horno ,Encontrarse en una situación muy complicada o sin salida,"Mañana rindo el examen final y no estudie , estoy al horno ","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Estar procesándose o cocinándose en un horno para prepararse culinariamente.,1.0,"Estar al horno significa cocer o hornear un alimento en un horno, utilizando calor seco para cocinarlo uniformemente y obtener una textura específica.",1.0,"Estar en una situación muy difícil, comprometida o sin salida, donde las posibilidades de éxito son mínimas o nulas.",5.0
Argentina,Cordoba (Argentina),35.0,F,panambí,mariposa,mira esa panambí que bonita,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Cepillo de origen argentino con mango horizontal y poleas dentadas; se usa para limpiar y secar superficies húmedas, como ventanas.",1.0,"Panambí es un río largo y sinuoso de la cuenca del Amazonas, ubicado en Brasil y Perú.",1.0,Nombre de origen guaraní utilizado para referirse a la mariposa.,5.0
Argentina,Cordoba (Argentina),43.0,F,Ponerse las pilas ,Empezar a esforzarse o prestar atención a una tarea pendiente.,Ponete las pilas con el estudio si querés aprobar el trimestre.,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",Recargar combate.,3.0,"Ponerse las pilas significa esforzarse, motivarse y actuar con energía y determinación para realizar una tarea o alcanzar un objetivo.",5.0,"Es una expresión coloquial que significa esforzarse, activarse o prestar mayor atención para realizar una tarea con energía, eficacia o rapidez.",5.0
Argentina,Cordoba (Argentina),33.0,M,Criollos,Masa comestible similar al pan (pueden ser dulces o salados),Dame 1 kg de criollos,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Personas nacidas en América, con sangre europea predominante, descendientes de colonos que se adaptaron a estas regiones ya sean españoles, portugueses u otros colonizadores europeos.",1.0,"Criollos son personas nacidas en América de descendencia europea, pero que no comparten raíces peninsulares.",1.0,"Descendientes de españoles nacidos en las colonias americanas. Durante la época colonial, formaron una élite social con derechos limitados en comparación con los peninsulares, desempeñando roles clave en la administración y economía local.",1.0
Argentina,Cordoba (Argentina),33.0,M,Bondi,Bus de pasajeros,Ahí viene el bondi,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","**Bondi** es una región costera de Sydney (Australia), conocida por sus playas, estilo de vida bohemio y arquitectura colorida desde los años 1930. Símbolo del surf, cultura deprived y paisajes marinos.",1.0,Bondi se refiere a una función matemática que describe la altura de una ola en función de su distancia desde el punto máximo de la cresta.,1.0,Término coloquial utilizado en Argentina para referirse al autobús de transporte público urbano.,5.0
Argentina,Cordoba (Argentina),35.0,F,quincho,espacio techado en patio,vamos a comer al quincho,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Pequeña construcción levantada, sencilla, de muros bajos y techo de paja o chapas, usada tradicionalmente para cobijarse del sol, la lluvia o reuniones sociales.",3.0,"El ""quincho"" es un recinto cerrado, generalmente de madera, utilizado para asar carnes y otros alimentos al fuego.",4.0,"Espacio cubierto, generalmente abierto por los lados, destinado al recreo y a la preparación de alimentos, habitualmente equipado con una parrilla o zona de cocina para realizar reuniones sociales.",4.0
Argentina,Cordoba (Argentina),33.0,M,Gurises,Menores de edad,Cuida a los gurises,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","YoungINtrincado siempre con la corriente *Guris* (del tamil குருச்), que significa ""bárbaro"" o **""terraza alta con estanques o fosos de almacenaje de agua para el ganado""**, usado coloquilmente en lasciugráticas comoودوع scènes rústicas o *decorado rural - principalmente preso enzpuisas deinenventosDispatch- como suelo***.",1.0,"Gurises se refiere a jóvenes, especialmente varones, de entre la pubertad y la edad adulta.",1.0,"Término coloquial utilizado principalmente en Uruguay y algunas zonas de Argentina para referirse a niños, jóvenes o personas de corta edad.",5.0
Argentina,Cordoba (Argentina),43.0,F,Quemar las pestañas,"Estudiar intensamente durante muchas horas, especialmente por las noches.","Me quemé las pestañas todo el fin de semana para el parcial de anatomía.
","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Ex Ärö: cruel carga emocional; signo de sacrificio excesivo o agotamiento extremo por el esfuerzo,циях o responsibilită cuanto superan las capacitats individuelles.",3.0,"Quemar las pestañas implica dañar o destruir los folículos pilosos de las pestañas, resultando en su caída y eventual desaparición.",3.0,"Estudiar o trabajar con excesiva dedicación, generalmente durante la noche, sacrificando horas de sueño para cumplir con una tarea o meta académica o profesional.",5.0
Argentina,Cordoba (Argentina),35.0,F,cuchitril,"espacio o lugar pequeño, tambien referido a personas pequeñas",me llamó por teléfono la cuchitril ,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Lugar de venta, reparación o adecentamiento de utensilios de cocina (como cuchillos, metálicos o de andereo). También puede referirse al comercio minorista que ofrecer este servicio.",1.0,"El cuchitril es el músculo de la parte superior del brazo, ubicado entre el hombro y el codo, que ayuda a flexionar y rotar el brazo.",1.0,"Lugar pequeño, sucio, desordenado o en muy malas condiciones de habitabilidad. Suele referirse a una vivienda o habitación descuidada y precaria.",5.0
Argentina,Cordoba (Argentina),27.0,F,Fingir demencia,"actuar como si no estuvieras enterado de algo, ignorar un problema o desentenderte de una situación incómoda para evitar conflictos. ",Mi madre me preguntó qué pasó con las llaves y tuve que fingir demencia. ,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Pretender presentar síntomas o comportamientos de confuse disrafa intelectual para manipular, genital o buscar beneficios, sea para evitar responsabilidades o generar socorro.",1.0,"Fingir demencia es aparentar o simular síntomas de deterioro cognitivo o memoria, generalmente con fines engañosos o manipuladores.",1.0,"Actuar de forma deliberada como si no se comprendiera una situación, se hubiera olvidado una información o no se tuviera capacidad cognitiva, con el fin de evitar responsabilidades o consecuencias.",4.0
Argentina,Cordoba (Argentina),27.0,F,Tirar todo por la borda,"desperdiciar, arruinar o deshacerse de algo valioso por lo que se ha trabajado mucho.",No podes rendirte ahora y tirar todo por la borda. ,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Deshacerse de forma originaridad y radical de funciones, compromisos o responsabilidades, renunciando a cualquier plan previo sin orden o criterio.",2.0,"Arruinar o destruir completamente algo, abandonando todas las precauciones y orden, generando caos y desorden.",2.0,"Abandonar de forma repentina o definitiva un proyecto, una idea, un plan o un esfuerzo que se venía realizando, descartando todo lo avanzado anteriormente.",4.0
Argentina,Cordoba (Argentina),35.0,F,tallarina,fanatica del club atletico talleres,hoy faltó la tallarina,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Pastel pequeño y alargado, scénario del recaso, con forma tubular típicamente usado como relleno o decoración en postres. della región de شأن Duitse sucedido creada a partir de materia fid-resistant.",1.0,"""Tallarina"" es un término coloquial, principalmente usado en España, que se refiere a una persona que se queja o se lamenta excesivamente.",1.0,"Pasta de forma alargada y delgada, similar a los espaguetis pero generalmente más plana, elaborada tradicionalmente con harina de trigo y huevo. Es característica de la cocina italiana.",1.0
Argentina,Cordoba (Argentina),35.0,F,capocha,cabeza,la gorra le queda chica porque tiene capocha grande,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","Técnica de hilo o cordón amarrado para evitar que un edificio vuele por el viento al removerse o dañar.
Diferentes cosas que tenían una función como la que dice. Sirve para sujetar columnas de arriba abajo o de una columna hacia otra para que no se muevan de su lugar y preservar la estructura o las columnas de algún edificio en caso de vedovio.",1.0,"La capucha es una prenda de vestir con cuello y capucha que cubre la cabeza y el cuello, generalmente hecha de tela.",1.0,"Término coloquial utilizado en diversas regiones para referirse a una persona que carece de inteligencia, capacidad o juicio, o que actúa de manera torpe o absurda.",1.0
Argentina,Cordoba (Argentina),27.0,F,Ella jura,"Significa que alguien tiene una percepción exagerada, equivocada o muy alejada de la realidad sobre sí misma o sobre una situación.",Ella jura que su canción es la mejor. ,"['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']","**Decir solemnemente un compromiso o promesa con firmeza, invocando a algo sagrado o valorado como garantía de cumplimiento.**",2.0,Ella jura que la verdad es su guía y que no miente ni engaña.,2.0,"Expresión que indica que una mujer realiza una promesa solemne, afirma algo con total convicción o asegura la veracidad de sus palabras mediante un juramento.",3.0
Argentina,Cordoba (Argentina),27.0,F,"Si te gusta el durazno, bancate la pelusa","Significa que para disfrutar de las cosas buenas o placenteras de una situación, hay que aceptar y tolerar también las partes incómodas o difíciles.","Si te gusta estar sin trabajar, no te quejes de no tetener plata. Si te gusta el durazno, bancate la pelusa. ","['ministral3-8b', 'qwen3.5-4b', 'gemma4-26b', 'gemma3-4b']",**Preferir el sabor dulce del durazno pudiendo tolerar su textura mucilaginosa residual.**,2.0,"Si disfrutas del durazno, debes aceptar la pelusa que lo acompaña.",2.0,"Expresión coloquial que significa que si alguien decide aceptar una situación o beneficio, debe estar dispuesto a aceptar también sus aspectos negativos, inconvenientes o consecuencias inevitables.",5.0
